"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","cache-sulphurck","calav-esperck","calav-jesusmariack","deer-clearck","deer-clec","dry-cantua_al","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","klam-aiken","lagun-halleckck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-headwatermattole","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","nfy-slate-onion","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfeel-elder","sfy-fallck","sfy-loga","sfy-mcki","sfy-misc","sfy-rockck","sfy-scotchman","sfy-shadyck","sfy-springck","smith","smith-hurdygurdyck","soquel-ebsc","ssantiam","sumpqua","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"mad-redwoodck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074878,0.12783,0.141996,0.151146,0.287901,0.292499,0.29824,0.260872,0.271032,0.262867,0.282724,0.276248,0.270119,0.284768,0.265218,0.261138,0.2806,0.265946,0.274709,0.233773,0.28283,0.265655,0.287647,0.269332,0.315478,0.328142,0.23388,0.209633,0.27706,0.296071,0.169479,0.350229,0.335118,0.302906,0.132622,0.167539,0.268943,0.265375,0.27059,0.266058,0.270279,0.260207,0.271885,0.275881,0.164659,0.183276,0.312528,0.263712,0.245933,0.111451,0.133795,0.144455,0.302355,0.119204,0.12408,0.191297
"mad-redwoodck2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127624,0.146693,0.146838,0.260856,0.265358,0.271748,0.227667,0.238155,0.234199,0.253647,0.248947,0.244511,0.253815,0.235672,0.229748,0.255403,0.233385,0.247174,0.210694,0.259096,0.23592,0.260416,0.2514,0.315474,0.331675,0.237924,0.211418,0.25491,0.272628,0.171693,0.353031,0.338747,0.287649,0.13284,0.170548,0.242553,0.233723,0.234873,0.234369,0.24159,0.23765,0.240801,0.246202,0.163191,0.184109,0.315927,0.267947,0.241025,0.11161,0.128043,0.141969,0.298014,0.12271,0.130952,0.187273
"mat-bearriver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135873,0.110641,0.28814,0.295648,0.29968,0.264067,0.273049,0.266464,0.283625,0.281108,0.275823,0.287301,0.271149,0.263757,0.286071,0.267047,0.278771,0.226068,0.28327,0.268423,0.292533,0.278088,0.328533,0.338483,0.227764,0.194009,0.282726,0.298603,0.164144,0.360547,0.34413,0.308718,0.09818,0.156771,0.275662,0.268493,0.276668,0.267812,0.281005,0.277487,0.271449,0.282961,0.177393,0.190436,0.322474,0.271784,0.247365,0.111098,0.122678,0.131203,0.316947,0.099112,0.106046,0.184521
"mat-headwatermattole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148205,0.281509,0.292216,0.308311,0.270742,0.287062,0.2684,0.303337,0.285156,0.273143,0.30498,0.263222,0.26761,0.294622,0.277315,0.288993,0.244392,0.291347,0.277917,0.282534,0.26907,0.312039,0.347551,0.265143,0.236465,0.284847,0.315854,0.156079,0.364344,0.347563,0.311972,0.142203,0.129927,0.271377,0.271262,0.266343,0.273335,0.270902,0.235128,0.29036,0.274809,0.135374,0.213492,0.331875,0.293674,0.241248,0.107484,0.154102,0.164022,0.298134,0.134197,0.120088,0.183364
"mat-lowermattole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326115,0.336569,0.33999,0.301532,0.309896,0.301846,0.328565,0.327054,0.324475,0.329475,0.316009,0.29776,0.331844,0.301277,0.32097,0.261414,0.327637,0.310909,0.334985,0.324416,0.380534,0.38303,0.271982,0.22717,0.327687,0.344502,0.179489,0.409566,0.393576,0.356537,0.111377,0.179457,0.325557,0.318066,0.331318,0.31449,0.330719,0.315414,0.314911,0.339262,0.202723,0.20725,0.365316,0.321291,0.284987,0.130958,0.143809,0.15381,0.37386,0.117704,0.13454,0.208423
"mfa-amec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185026,0.174542,0.236034,0.247606,0.200961,0.2191,0.227372,0.226959,0.221376,0.203305,0.195466,0.230959,0.195448,0.21882,0.296395,0.212576,0.243692,0.302123,0.285458,0.38776,0.388075,0.365109,0.351467,0.211838,0.238898,0.292286,0.403242,0.388159,0.227421,0.309413,0.318812,0.254983,0.237968,0.256617,0.2276,0.268886,0.268215,0.247383,0.27686,0.26719,0.324957,0.374236,0.338579,0.32898,0.25311,0.283486,0.300336,0.296218,0.286145,0.286476,0.357953
"mfa-gasc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159997,0.244754,0.246111,0.201217,0.217507,0.238404,0.24057,0.223961,0.219941,0.19423,0.240312,0.194526,0.224977,0.308355,0.219878,0.253081,0.321379,0.309404,0.436429,0.418105,0.393749,0.373505,0.231652,0.252265,0.300748,0.440675,0.42037,0.275968,0.318006,0.337567,0.272901,0.254138,0.277304,0.240579,0.295029,0.29892,0.246079,0.294703,0.286858,0.325234,0.401863,0.373343,0.355609,0.261007,0.29059,0.301597,0.356804,0.288794,0.299457,0.384894
"mfa-todc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243528,0.241699,0.20273,0.211523,0.231462,0.231849,0.215212,0.215886,0.198024,0.22652,0.193319,0.218081,0.310149,0.213621,0.250742,0.317142,0.306465,0.415771,0.399599,0.371308,0.35699,0.215712,0.236749,0.308857,0.418933,0.404765,0.261354,0.317096,0.347856,0.266964,0.248067,0.267862,0.233405,0.277874,0.302092,0.246897,0.282904,0.297809,0.330931,0.388089,0.34983,0.349739,0.271059,0.292303,0.308196,0.330018,0.296226,0.306399,0.382546
"mfy-oregck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115781,0.164491,0.187136,0.199823,0.202972,0.18304,0.18733,0.161097,0.206075,0.158995,0.183068,0.275427,0.214945,0.155059,0.255735,0.244137,0.387646,0.37414,0.338076,0.322074,0.210175,0.233164,0.275243,0.391922,0.376532,0.306928,0.279417,0.308821,0.176293,0.162747,0.184844,0.151715,0.195754,0.221154,0.15337,0.2012,0.254589,0.2953,0.361566,0.309221,0.323207,0.235651,0.250584,0.269768,0.339205,0.258988,0.266812,0.348902
"mfy-us-oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169324,0.176111,0.198892,0.206927,0.172069,0.189571,0.163632,0.200774,0.155826,0.17711,0.272916,0.218166,0.156656,0.249567,0.241739,0.396203,0.378005,0.338383,0.324835,0.22018,0.228148,0.288767,0.399781,0.387502,0.311129,0.287948,0.32351,0.181777,0.165993,0.179338,0.155555,0.179364,0.24372,0.153058,0.188822,0.278292,0.29652,0.367224,0.320924,0.331678,0.251852,0.262194,0.276485,0.348663,0.27139,0.28656,0.353697
