"",E-1,E-2,N-Fea-35,N-Fea-36,N-Fea-37,N-Fea-38,N-Fea-39,NE-10,NE-11,NE-12,NE-13,NE-14,NE-15,NE-16,NE-17,NE-18,NE-19,NE-20,NE-21,NE-22,NE-23,NE-24,NE-25,NE-26,NE-27,NE-28,NE-29,NE-3,NE-30,NE-31,NE-32,NE-33,NE-34,NE-4,NE-5,NE-6,NE-7,NE-8,NE-9,NW-40,NW-41,NW-42,NW-43,NW-44,NW-45,NW-46,NW-47,NW-48,NW-49,NW-50,NW-51,NW-52,NW-53,NW-54,NW-55,NW-56,NW-57,SW-58,SW-59,W-60,W-61,W-62,W-63
NW-54,0.280234,0.301481,0.231058,0.239393,0.240427,0.235125,0.16207,0.254303,0.264976,0.228404,0.231548,0.227956,0.247028,0.246205,0.2449,0.245413,0.224094,0.225625,0.260358,0.228033,0.241541,0.250856,0.23001,0.239934,0.249481,0.262682,0.240317,0.223877,0.232884,0.229687,0.241487,0.240226,0.247582,0.244204,0.236137,0.267552,0.238587,0.238293,0.25703,0.068026,0.074201,0.096392,0.099192,0.08077,0.077542,0.207182,0.170009,0.152311,0.085712,0.145792,0.244995,0.035762,0.018296,0,0.0642,0.068001,0.093823,0.332972,0.323582,0.275096,0.317766,0.310204,0.298564
NW-55,0.269737,0.28729,0.22303,0.232289,0.234315,0.231821,0.178763,0.247361,0.257316,0.219125,0.228887,0.218876,0.240916,0.243195,0.238078,0.243653,0.217942,0.221016,0.256069,0.227121,0.234365,0.241326,0.219912,0.225335,0.241214,0.25555,0.228054,0.218189,0.222885,0.218706,0.238949,0.233799,0.241899,0.238689,0.231858,0.26581,0.233466,0.232161,0.244244,0.034302,0.043103,0.072469,0.077938,0.0498,0.045378,0.186713,0.147173,0.125437,0.053614,0.134039,0.229759,0.049537,0.064038,0.0642,0,0.029636,0.060419,0.323314,0.310544,0.258771,0.304673,0.297323,0.285999
NW-56,0.264765,0.276665,0.216658,0.229384,0.236777,0.227299,0.186991,0.242469,0.252771,0.210305,0.226298,0.209121,0.23688,0.237023,0.230457,0.24046,0.212781,0.214838,0.255548,0.224331,0.22985,0.23332,0.211582,0.224231,0.23021,0.251069,0.222634,0.216827,0.215527,0.213464,0.238509,0.229149,0.240999,0.234623,0.227186,0.270363,0.228158,0.229277,0.239181,0.040579,0.051226,0.068839,0.073586,0.045293,0.046307,0.179652,0.147118,0.114254,0.056884,0.133303,0.217724,0.049915,0.070051,0.068001,0.029636,0,0.080371,0.313402,0.297799,0.248966,0.295972,0.286543,0.275884
NW-57,0.290001,0.313284,0.233325,0.244482,0.242946,0.235568,0.193653,0.269902,0.278704,0.243697,0.246668,0.240314,0.262185,0.261179,0.257535,0.260599,0.244428,0.24071,0.272377,0.241835,0.25624,0.26517,0.245763,0.247064,0.26822,0.272141,0.252899,0.23259,0.24799,0.245434,0.254731,0.251746,0.261821,0.26124,0.253915,0.264748,0.253725,0.24953,0.270462,0.063131,0.06613,0.101546,0.098941,0.085345,0.069907,0.203596,0.160477,0.145092,0.083555,0.154913,0.241685,0.079073,0.096378,0.093823,0.060419,0.080371,0,0.341236,0.330817,0.28024,0.320653,0.311304,0.30123
SW-58,0.370913,0.376255,0.338441,0.351001,0.359154,0.348619,0.36649,0.387847,0.387166,0.361503,0.366147,0.36034,0.376139,0.374376,0.368975,0.379078,0.360184,0.358396,0.381836,0.362823,0.373586,0.370394,0.367153,0.352924,0.366278,0.378673,0.369459,0.350573,0.36878,0.364069,0.366713,0.375083,0.379831,0.379721,0.368445,0.392491,0.371957,0.376049,0.376146,0.3245,0.334987,0.323478,0.324819,0.32595,0.329437,0.385652,0.370348,0.330689,0.342443,0.335577,0.321337,0.292827,0.32823,0.332972,0.323314,0.313402,0.341236,0,0.106782,0.293011,0.341971,0.327197,0.33116
SW-59,0.359227,0.358391,0.320213,0.33144,0.33983,0.33294,0.352398,0.373759,0.37668,0.351044,0.35726,0.352179,0.367704,0.367273,0.359471,0.374366,0.348911,0.349375,0.374296,0.356228,0.366221,0.359909,0.355062,0.340258,0.357324,0.367804,0.356453,0.339644,0.35233,0.348223,0.358137,0.366496,0.367517,0.369607,0.358392,0.380322,0.3625,0.363723,0.364292,0.315855,0.326837,0.313839,0.315645,0.315425,0.319421,0.375404,0.361602,0.319579,0.333408,0.323711,0.3061,0.282234,0.319449,0.323582,0.310544,0.297799,0.330817,0.106782,0,0.278968,0.327649,0.318585,0.324999
W-60,0.314743,0.318599,0.274157,0.283214,0.295515,0.288173,0.298953,0.326177,0.329687,0.299458,0.306133,0.30451,0.317033,0.316391,0.311488,0.324488,0.301704,0.299952,0.328168,0.305477,0.317174,0.312076,0.303133,0.289554,0.309527,0.320648,0.313607,0.293283,0.301885,0.296727,0.31545,0.315733,0.319272,0.317706,0.310692,0.342294,0.312597,0.315655,0.314941,0.263399,0.277135,0.264553,0.265605,0.262823,0.264872,0.321527,0.31221,0.272309,0.281474,0.274412,0.258366,0.236875,0.267603,0.275096,0.258771,0.248966,0.28024,0.293011,0.278968,0,0.183232,0.183509,0.120879
W-61,0.364531,0.372326,0.320818,0.334469,0.340028,0.330529,0.348056,0.373942,0.378181,0.350878,0.355374,0.350273,0.365606,0.368535,0.366384,0.371612,0.354565,0.347198,0.376836,0.350757,0.367205,0.361203,0.35452,0.344693,0.364516,0.368809,0.359184,0.335165,0.350062,0.350551,0.365435,0.36114,0.370734,0.370712,0.360776,0.37875,0.360315,0.36597,0.368365,0.308005,0.319076,0.311785,0.307791,0.309125,0.30754,0.375454,0.358518,0.318438,0.325115,0.315383,0.307939,0.279448,0.314288,0.317766,0.304673,0.295972,0.320653,0.341971,0.327649,0.183232,0,0.031008,0.208222
W-62,0.350637,0.355622,0.312134,0.322173,0.328917,0.322579,0.337043,0.364136,0.366047,0.342112,0.342952,0.341243,0.354387,0.351946,0.345492,0.359426,0.339671,0.337017,0.358971,0.340826,0.352961,0.351102,0.345453,0.331516,0.348999,0.35506,0.344838,0.326176,0.338827,0.338084,0.347248,0.349803,0.351667,0.354325,0.346264,0.366718,0.348845,0.35211,0.356249,0.298801,0.310648,0.302709,0.301547,0.301984,0.301602,0.361421,0.34611,0.311643,0.317957,0.309978,0.299703,0.271784,0.306002,0.310204,0.297323,0.286543,0.311304,0.327197,0.318585,0.183509,0.031008,0,0.206922
W-63,0.340481,0.350035,0.303774,0.312879,0.320228,0.316181,0.323782,0.352545,0.357168,0.332357,0.335125,0.333967,0.345014,0.343586,0.336607,0.35003,0.329495,0.327463,0.352422,0.331171,0.343584,0.341841,0.334661,0.318543,0.338385,0.348677,0.33826,0.318336,0.329351,0.328392,0.337097,0.342552,0.345498,0.34307,0.335332,0.359562,0.339419,0.340215,0.345592,0.287966,0.300695,0.290488,0.290931,0.288081,0.2881,0.349642,0.335301,0.302407,0.306272,0.302816,0.299703,0.261986,0.291931,0.298564,0.285999,0.275884,0.30123,0.33116,0.324999,0.120879,0.208222,0.206922,0
