"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","deer-clec","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfy-fallck","sfy-loga","sfy-misc","sfy-rockck","sfy-shadyck","sfy-springck","smith-hurdygurdyck","soquel-ebsc","ssantiam","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"mfa-gasc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09566,0.187751,0.187637,0.137059,0.152178,0.165966,0.1667,0.157207,0.132366,0.135064,0.188424,0.135298,0.157378,0.252614,0.154941,0.191588,0.214181,0.373942,0.364136,0.338268,0.320163,0.168807,0.18597,0.28054,0.387847,0.373759,0.203563,0.275394,0.194218,0.173655,0.173487,0.198833,0.192996,0.199944,0.28263,0.352545,0.315802,0.226081,0.254432,0.254303,0.287466,0.247361,0.242469,0.269902
"mfa-todc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205416,0.200792,0.154224,0.168223,0.180448,0.180766,0.169417,0.146595,0.156655,0.195527,0.151464,0.169757,0.265096,0.171322,0.208614,0.23233,0.378181,0.366047,0.339607,0.322572,0.173958,0.19513,0.289627,0.387166,0.37668,0.212,0.281898,0.210223,0.187109,0.187787,0.207027,0.211339,0.214374,0.292923,0.357168,0.319844,0.235733,0.261632,0.264976,0.289311,0.257316,0.252771,0.278704
"mfy-oregck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074561,0.122707,0.145802,0.151525,0.153121,0.140057,0.118621,0.121942,0.180508,0.11937,0.136805,0.228915,0.174728,0.10716,0.161382,0.350878,0.342112,0.308769,0.290643,0.169621,0.192898,0.254792,0.361503,0.351044,0.261146,0.246261,0.114047,0.10074,0.101988,0.115873,0.116058,0.125513,0.256705,0.332357,0.276386,0.19749,0.220745,0.228404,0.301147,0.219125,0.210305,0.243697
"mfy-us-oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124314,0.135311,0.145118,0.151199,0.12701,0.119089,0.119767,0.165182,0.110877,0.127428,0.223005,0.173655,0.108995,0.155079,0.355374,0.342952,0.304515,0.288195,0.173855,0.186151,0.262911,0.366147,0.35726,0.261806,0.250738,0.118719,0.09895,0.099454,0.097804,0.109351,0.109432,0.259456,0.335125,0.287286,0.208954,0.225855,0.231548,0.306732,0.228887,0.226298,0.246668
"nfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074823,0.051788,0.055523,0.044979,0.04342,0.019185,0.088845,0.04191,0.034458,0.230853,0.121323,0.124897,0.181439,0.350273,0.341243,0.308378,0.29147,0.117546,0.141625,0.253931,0.36034,0.352179,0.237049,0.248029,0.121872,0.114491,0.110661,0.128946,0.132905,0.135189,0.259896,0.333967,0.284657,0.195989,0.222551,0.227956,0.288957,0.218876,0.209121,0.240314
"nfa-bunc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098527,0.100794,0.07828,0.073808,0.076565,0.124895,0.063607,0.086434,0.234397,0.140074,0.146786,0.189312,0.365606,0.354387,0.321781,0.303961,0.149322,0.162837,0.277017,0.376139,0.367704,0.242961,0.267213,0.150917,0.126153,0.125399,0.13913,0.143102,0.145443,0.275906,0.345014,0.305939,0.220285,0.241539,0.247028,0.307473,0.240916,0.23688,0.262185
"nfa-euchds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007488,0.058963,0.063351,0.063451,0.062206,0.06251,0.063956,0.259206,0.140445,0.16053,0.207941,0.368535,0.351946,0.320956,0.302482,0.130811,0.149694,0.274536,0.374376,0.367273,0.256433,0.262242,0.144695,0.147509,0.150756,0.141257,0.156783,0.155124,0.274419,0.343586,0.292685,0.222904,0.238245,0.246205,0.303215,0.243195,0.237023,0.261179
"nfa-euchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070134,0.069809,0.068212,0.064405,0.073086,0.070319,0.252574,0.139113,0.159068,0.206704,0.366384,0.345492,0.315687,0.299686,0.136031,0.150326,0.270151,0.368975,0.359471,0.253242,0.26011,0.147149,0.146604,0.141739,0.141178,0.154155,0.145958,0.269705,0.336607,0.28504,0.218712,0.240804,0.2449,0.301824,0.238078,0.230457,0.257535
"nfa-indc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054504,0.053858,0.090817,0.034567,0.054408,0.250166,0.13622,0.142984,0.209531,0.371612,0.359426,0.322646,0.304106,0.131183,0.149686,0.277249,0.379078,0.374366,0.25372,0.263686,0.136404,0.135316,0.134359,0.128664,0.140981,0.140808,0.279044,0.35003,0.307174,0.224771,0.239641,0.245413,0.311485,0.243653,0.24046,0.260599
"nfa-pond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052406,0.10411,0.043025,0.06012,0.232912,0.118898,0.116482,0.186298,0.354565,0.339671,0.300823,0.286896,0.112286,0.141683,0.251722,0.360184,0.348911,0.231245,0.24535,0.119495,0.112283,0.10678,0.121565,0.12861,0.135609,0.2548,0.329495,0.285256,0.199707,0.218232,0.224094,0.282419,0.217942,0.212781,0.244428
"nfa-robr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096145,0.04774,0.038099,0.224872,0.12438,0.127641,0.172231,0.347198,0.337017,0.30345,0.285701,0.121517,0.144501,0.253989,0.358396,0.349375,0.231072,0.244779,0.123852,0.113309,0.110671,0.126587,0.131766,0.134743,0.254392,0.327463,0.282412,0.199705,0.222772,0.225625,0.286807,0.221016,0.214838,0.24071
"nfa-saic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09405,0.088281,0.268221,0.163265,0.185522,0.222376,0.376836,0.358971,0.328848,0.313508,0.164427,0.168316,0.287377,0.381836,0.374296,0.271868,0.275925,0.171961,0.166537,0.166742,0.159129,0.17845,0.163943,0.284647,0.352422,0.303157,0.23726,0.255586,0.260358,0.320151,0.256069,0.255548,0.272377
"nfa-shic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054672,0.229427,0.123058,0.123659,0.176309,0.350757,0.340826,0.305521,0.287727,0.119089,0.141628,0.260659,0.362823,0.356228,0.233697,0.24621,0.124192,0.114596,0.113969,0.114203,0.123502,0.128583,0.26062,0.331171,0.292567,0.20575,0.223139,0.228033,0.292793,0.227121,0.224331,0.241835
"nfa-slar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245154,0.13615,0.140869,0.19699,0.367205,0.352961,0.318387,0.301449,0.13417,0.148486,0.270121,0.373586,0.366221,0.253345,0.25828,0.131858,0.125554,0.130139,0.128979,0.139561,0.138441,0.270574,0.343584,0.297023,0.21593,0.236658,0.241541,0.306943,0.234365,0.22985,0.25624
"nff-poe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250119,0.225756,0.213596,0.348056,0.337043,0.279708,0.251988,0.26922,0.2672,0.232615,0.36649,0.352398,0.28795,0.202285,0.250994,0.223273,0.222741,0.242152,0.232116,0.242892,0.211968,0.323782,0.281136,0.154919,0.165152,0.16207,0.330344,0.178763,0.186991,0.193653
"nfmfa-sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177443,0.202949,0.361203,0.351102,0.324077,0.30813,0.083713,0.100772,0.276612,0.370394,0.359909,0.232845,0.268491,0.176863,0.156961,0.157374,0.17703,0.185568,0.181183,0.278842,0.341841,0.291861,0.221043,0.246475,0.250856,0.290852,0.241326,0.23332,0.26517
"nfy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147748,0.35452,0.345453,0.312969,0.29524,0.173984,0.196278,0.255598,0.367153,0.355062,0.265293,0.248871,0.122011,0.107898,0.107186,0.126512,0.120776,0.136282,0.261401,0.334661,0.282306,0.199555,0.225531,0.23001,0.304141,0.219912,0.211582,0.245763
"nfy-slate-cgrav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344693,0.331516,0.303605,0.288534,0.213123,0.225103,0.253987,0.352924,0.340258,0.258375,0.254317,0.188754,0.155146,0.162139,0.178849,0.178297,0.182254,0.238003,0.318543,0.26535,0.21149,0.232926,0.239934,0.296337,0.225335,0.224231,0.247064
"paj-clearck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031008,0.375454,0.358518,0.364516,0.368809,0.318438,0.341971,0.327649,0.364531,0.325115,0.359184,0.350062,0.350551,0.365435,0.36114,0.370734,0.315383,0.208222,0.307939,0.279448,0.314288,0.317766,0.372326,0.304673,0.295972,0.320653
"paj-sanbenito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361421,0.34611,0.348999,0.35506,0.311643,0.327197,0.318585,0.350637,0.317957,0.344838,0.338827,0.338084,0.347248,0.349803,0.351667,0.309978,0.206922,0.299703,0.271784,0.306002,0.310204,0.355622,0.297323,0.286543,0.311304
"put-cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130048,0.320891,0.331071,0.225161,0.385652,0.375404,0.343517,0.193252,0.314281,0.30836,0.305644,0.30671,0.318046,0.318466,0.24251,0.349642,0.288161,0.185381,0.202568,0.207182,0.359906,0.186713,0.179652,0.203596
"put-wildhorseck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304632,0.314313,0.193986,0.370348,0.361602,0.326276,0.148555,0.297101,0.291832,0.290729,0.289163,0.2993,0.300495,0.217968,0.335301,0.279116,0.15884,0.164084,0.170009,0.347177,0.147173,0.147118,0.160477
"rub-lc-us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082573,0.269321,0.366278,0.357324,0.239314,0.264894,0.17529,0.16977,0.165715,0.177182,0.18795,0.187835,0.277792,0.338385,0.287513,0.217051,0.240051,0.249481,0.285796,0.241214,0.23021,0.26822
"rub-usph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284868,0.378673,0.367804,0.251866,0.276895,0.192485,0.179023,0.179548,0.184321,0.196633,0.190843,0.288093,0.348677,0.297865,0.236218,0.256928,0.262682,0.302545,0.25555,0.251069,0.272141
"russ-mwsprngck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330689,0.319579,0.293697,0.13989,0.261445,0.257047,0.255716,0.272033,0.272431,0.275899,0.190494,0.302407,0.248356,0.107496,0.146231,0.152311,0.304817,0.125437,0.114254,0.145092
"salin-losburros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106782,0.370913,0.342443,0.369459,0.36878,0.364069,0.366713,0.375083,0.379831,0.335577,0.33116,0.321337,0.292827,0.32823,0.332972,0.376255,0.323314,0.313402,0.341236
"sancarp-dutrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.359227,0.333408,0.356453,0.35233,0.348223,0.358137,0.366496,0.367517,0.323711,0.324999,0.3061,0.282234,0.319449,0.323582,0.358391,0.310544,0.297799,0.330817
"sfa-cami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294927,0.270738,0.24975,0.246352,0.268584,0.269911,0.272073,0.296895,0.340481,0.303622,0.24865,0.274776,0.280234,0.205438,0.269737,0.264765,0.290001
"sfeel-cedar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254035,0.252571,0.251673,0.254863,0.257011,0.262864,0.157325,0.306272,0.25179,0.079254,0.082821,0.085712,0.313297,0.053614,0.056884,0.083555
