siteA,siteB,sitepair,siteida,siteidb,dist_km,fst_adj
bear-sthc,sfy-rockck,bear-sthc_sfy-rockck,NE-7,NE-32,17.09,0.131154
bear-sthc,sfy-shadyck,bear-sthc_sfy-shadyck,NE-7,NE-33,23.15,0.13613
bear-sthc,sfy-springck,bear-sthc_sfy-springck,NE-7,NE-34,17.45,0.135852
bear-sthc,smith-hurdygurdyck,bear-sthc_smith-hurdygurdyck,NE-7,NW-50,377.63,0.269663
bear-sthc,soquel-ebsc,bear-sthc_soquel-ebsc,NE-7,W-63,253.69,0.339419
bear-sthc,ssantiam,bear-sthc_ssantiam,NE-7,NW-51,591.8,0.295876
bear-sthc,trin-sftrinity,bear-sthc_trin-sftrinity,NE-7,NW-52,288.76,0.213851
bear-sthc,trin-sftrinity-sandybar,bear-sthc_trin-sftrinity-sandybar,NE-7,NW-53,298.37,0.235264
bear-sthc,trin-tishtang,bear-sthc_trin-tishtang,NE-7,NW-54,310.11,0.238587
bear-sthc,tuo-clavey,bear-sthc_tuo-clavey,NE-7,E-2,162.49,0.306813
bear-sthc,vandz-dinsmore,bear-sthc_vandz-dinsmore,NE-7,NW-55,272.77,0.233466
bear-sthc,vandz-rootcreek,bear-sthc_vandz-rootcreek,NE-7,NW-56,297.89,0.228158
bear-sthc,vandz-shanty,bear-sthc_vandz-shanty,NE-7,NW-57,260.33,0.253725
bear,trin-sftrinity,bear_trin-sftrinity,NE-3,NW-52,289.02,0.202973
bear,trin-sftrinity-sandybar,bear_trin-sftrinity-sandybar,NE-3,NW-53,298.7,0.222503
bear,trin-tishtang,bear_trin-tishtang,NE-3,NW-54,310.57,0.223877
bear,tuo-clavey,bear_tuo-clavey,NE-3,E-2,160.62,0.285391
bear,vandz-dinsmore,bear_vandz-dinsmore,NE-3,NW-55,272.65,0.218189
bear,vandz-rootcreek,bear_vandz-rootcreek,NE-3,NW-56,297.57,0.216827
bear,vandz-shanty,bear_vandz-shanty,NE-3,NW-57,260.11,0.23259
deer-clec,eel,deer-clec_eel,NE-8,NW-40,242.31,0.238493
deer-clec,fea-beanck,deer-clec_fea-beanck,NE-8,N-Fea-35,87.31,0.232491
deer-clec,fea-spanish-bgulch,deer-clec_fea-spanish-bgulch,NE-8,N-Fea-36,85.8,0.238184
deer-clec,fea-spanishck,deer-clec_fea-spanishck,NE-8,N-Fea-38,85.28,0.241857
deer-clec,fea-spanish-silverck,deer-clec_fea-spanish-silverck,NE-8,N-Fea-37,83.88,0.248182
deer-clec,mad-mapleck,deer-clec_mad-mapleck,NE-8,NW-41,293.47,0.250248
deer-clec,mad-redwoodck,deer-clec_mad-redwoodck,NE-8,NW-42,332.06,0.247234
deer-clec,mad-redwoodck2,deer-clec_mad-redwoodck2,NE-8,NW-43,334.38,0.233106
deer-clec,mat-bearriver,deer-clec_mat-bearriver,NE-8,NW-44,310.49,0.238539
deer-clec,mat-lowermattole,deer-clec_mat-lowermattole,NE-8,NW-45,297.12,0.238704
deer-clec,mfa-amec,deer-clec_mfa-amec,NE-8,NE-9,32.49,0.204158
deer-clec,mfa-gasc,deer-clec_mfa-gasc,NE-8,NE-10,30.04,0.190495
deer-clec,mfa-todc,deer-clec_mfa-todc,NE-8,NE-11,30.85,0.203403
deer-clec,mfy-oregck,deer-clec_mfy-oregck,NE-8,NE-12,29.64,0.140007
deer-clec,mfy-us-oh,deer-clec_mfy-us-oh,NE-8,NE-13,28.67,0.126738
deer-clec,nfa,deer-clec_nfa,NE-8,NE-14,20.95,0.12711
deer-clec,nfa-bunc,deer-clec_nfa-bunc,NE-8,NE-15,25.66,0.142792
deer-clec,nfa-euchds,deer-clec_nfa-euchds,NE-8,NE-16,32.74,0.150164
deer-clec,nfa-euchus,deer-clec_nfa-euchus,NE-8,NE-17,33.74,0.148152
deer-clec,nfa-indc,deer-clec_nfa-indc,NE-8,NE-18,24.5,0.136431
deer-clec,nfa-pond,deer-clec_nfa-pond,NE-8,NE-19,26.7,0.127593
deer-clec,nfa-robr,deer-clec_nfa-robr,NE-8,NE-20,20.47,0.12545
deer-clec,nfa-saic,deer-clec_nfa-saic,NE-8,NE-21,55.85,0.171369
deer-clec,nfa-shic,deer-clec_nfa-shic,NE-8,NE-22,25.94,0.120241
deer-clec,nfa-slar,deer-clec_nfa-slar,NE-8,NE-23,20.85,0.137309
deer-clec,nff-poe,deer-clec_nff-poe,NE-8,N-Fea-39,67.63,0.226813
deer-clec,nfmfa-sc,deer-clec_nfmfa-sc,NE-8,NE-24,39.23,0.178653
deer-clec,nfy,deer-clec_nfy,NE-8,NE-25,39.16,0.137855
deer-clec,nfy-slate-cgrav,deer-clec_nfy-slate-cgrav,NE-8,NE-26,58.84,0.178105
deer-clec,paj-clearck,deer-clec_paj-clearck,NE-8,W-61,314.08,0.36597
deer-clec,paj-sanbenito,deer-clec_paj-sanbenito,NE-8,W-62,318.21,0.35211
deer-clec,put-cold,deer-clec_put-cold,NE-8,NW-46,112.65,0.313363
deer-clec,put-wildhorseck,deer-clec_put-wildhorseck,NE-8,NW-47,112.8,0.294885
deer-clec,rub-lc-us,deer-clec_rub-lc-us,NE-8,NE-27,44.57,0.184934
deer-clec,rub-usph,deer-clec_rub-usph,NE-8,NE-28,41.49,0.187726
deer-clec,russ-mwsprngck,deer-clec_russ-mwsprngck,NE-8,NW-48,153.25,0.26914
deer-clec,salin-losburros,deer-clec_salin-losburros,NE-8,SW-58,368.25,0.376049
deer-clec,sancarp-dutrack,deer-clec_sancarp-dutrack,NE-8,SW-59,375.46,0.363723
deer-clec,sfa-cami,deer-clec_sfa-cami,NE-8,E-1,63.81,0.264656
deer-clec,sfeel-cedar,deer-clec_sfeel-cedar,NE-8,NW-49,224.01,0.253252
deer-clec,sfy-fallck,deer-clec_sfy-fallck,NE-8,NE-29,39.77,0.139402
deer-clec,sfy-loga,deer-clec_sfy-loga,NE-8,NE-30,32.36,0.121565
deer-clec,sfy-misc,deer-clec_sfy-misc,NE-8,NE-31,29.88,0.12146
deer-clec,sfy-rockck,deer-clec_sfy-rockck,NE-8,NE-32,21.08,0.126279
deer-clec,sfy-shadyck,deer-clec_sfy-shadyck,NE-8,NE-33,20.31,0.133609
deer-clec,sfy-springck,deer-clec_sfy-springck,NE-8,NE-34,21.15,0.137016
deer-clec,smith-hurdygurdyck,deer-clec_smith-hurdygurdyck,NE-8,NW-50,364.35,0.265573
deer-clec,soquel-ebsc,deer-clec_soquel-ebsc,NE-8,W-63,244.12,0.340215
deer-clec,ssantiam,deer-clec_ssantiam,NE-8,NW-51,588.89,0.290799
deer-clec,trin-sftrinity,deer-clec_trin-sftrinity,NE-8,NW-52,272.55,0.214864
deer-clec,trin-sftrinity-sandybar,deer-clec_trin-sftrinity-sandybar,NE-8,NW-53,282.46,0.235621
deer-clec,trin-tishtang,deer-clec_trin-tishtang,NE-8,NW-54,294.81,0.238293
deer-clec,tuo-clavey,deer-clec_tuo-clavey,NE-8,E-2,171.42,0.314337
deer-clec,vandz-dinsmore,deer-clec_vandz-dinsmore,NE-8,NW-55,254.92,0.232161
deer-clec,vandz-rootcreek,deer-clec_vandz-rootcreek,NE-8,NW-56,279.22,0.229277
deer-clec,vandz-shanty,deer-clec_vandz-shanty,NE-8,NW-57,242.11,0.24953
mfa-amec,mfa-gasc,mfa-amec_mfa-gasc,NE-9,NE-10,3.74,0.118582
mfa-amec,mfa-todc,mfa-amec_mfa-todc,NE-9,NE-11,3.83,0.132533
mfa-amec,mfy-oregck,mfa-amec_mfy-oregck,NE-9,NE-12,57.24,0.194225
mfa-amec,mfy-us-oh,mfa-amec_mfy-us-oh,NE-9,NE-13,53.34,0.201573
mfa-amec,nfa,mfa-amec_nfa,NE-9,NE-14,19.81,0.151512
mfa-amec,nfa-bunc,mfa-amec_nfa-bunc,NE-9,NE-15,11.86,0.16741
mfa-amec,nfa-euchds,mfa-amec_nfa-euchds,NE-9,NE-16,31.99,0.183045
mfa-amec,nfa-euchus,mfa-amec_nfa-euchus,NE-9,NE-17,32.44,0.183714
mfa-amec,nfa-indc,mfa-amec_nfa-indc,NE-9,NE-18,13.95,0.174287
mfa-amec,nfa-pond,mfa-amec_nfa-pond,NE-9,NE-19,7.33,0.143648
mfa-amec,nfa-robr,mfa-amec_nfa-robr,NE-9,NE-20,18.99,0.152325
mfa-amec,nfa-saic,mfa-amec_nfa-saic,NE-9,NE-21,49.87,0.20752
mfa-amec,nfa-shic,mfa-amec_nfa-shic,NE-9,NE-22,12.85,0.151114
mfa-amec,nfa-slar,mfa-amec_nfa-slar,NE-9,NE-23,18.35,0.173997
mfa-amec,nff-poe,mfa-amec_nff-poe,NE-9,N-Fea-39,99.95,0.257295
mfa-amec,nfmfa-sc,mfa-amec_nfmfa-sc,NE-9,NE-24,20.42,0.165526
mfa-amec,nfy,mfa-amec_nfy,NE-9,NE-25,64.23,0.198448
mfa-amec,nfy-slate-cgrav,mfa-amec_nfy-slate-cgrav,NE-9,NE-26,83.84,0.220569
mfa-amec,paj-clearck,mfa-amec_paj-clearck,NE-9,W-61,285.02,0.368365
mfa-amec,paj-sanbenito,mfa-amec_paj-sanbenito,NE-9,W-62,288.82,0.356249
mfa-amec,put-cold,mfa-amec_put-cold,NE-9,NW-46,111.5,0.335977
mfa-amec,put-wildhorseck,mfa-amec_put-wildhorseck,NE-9,NW-47,111.15,0.314886
mfa-amec,rub-lc-us,mfa-amec_rub-lc-us,NE-9,NE-27,22.81,0.173417
mfa-amec,rub-usph,mfa-amec_rub-usph,NE-9,NE-28,20.42,0.192001
mfa-amec,russ-mwsprngck,mfa-amec_russ-mwsprngck,NE-9,NW-48,159.34,0.274376
mfa-amec,salin-losburros,mfa-amec_salin-losburros,NE-9,SW-58,341.76,0.376146
mfa-amec,sancarp-dutrack,mfa-amec_sancarp-dutrack,NE-9,SW-59,348.96,0.364292
mfa-amec,sfa-cami,mfa-amec_sfa-cami,NE-9,E-1,34.46,0.17091
mfa-amec,sfeel-cedar,mfa-amec_sfeel-cedar,NE-9,NW-49,249.49,0.273803
mfa-amec,sfy-fallck,mfa-amec_sfy-fallck,NE-9,NE-29,50.07,0.206509
mfa-amec,sfy-loga,mfa-amec_sfy-loga,NE-9,NE-30,48.95,0.186761
mfa-amec,sfy-misc,mfa-amec_sfy-misc,NE-9,NE-31,47.71,0.181302
mfa-amec,sfy-rockck,mfa-amec_sfy-rockck,NE-9,NE-32,44.1,0.211164
mfa-amec,sfy-shadyck,mfa-amec_sfy-shadyck,NE-9,NE-33,47.72,0.208665
mfa-amec,sfy-springck,mfa-amec_sfy-springck,NE-9,NE-34,44.4,0.21678
mfa-amec,smith-hurdygurdyck,mfa-amec_smith-hurdygurdyck,NE-9,NW-50,396.59,0.281156
mfa-amec,soquel-ebsc,mfa-amec_soquel-ebsc,NE-9,W-63,223.89,0.345592
mfa-amec,ssantiam,mfa-amec_ssantiam,NE-9,NW-51,619.49,0.309838
mfa-amec,trin-sftrinity,mfa-amec_trin-sftrinity,NE-9,NW-52,303.82,0.218732
mfa-amec,trin-sftrinity-sandybar,mfa-amec_trin-sftrinity-sandybar,NE-9,NW-53,313.87,0.250961
mfa-amec,trin-tishtang,mfa-amec_trin-tishtang,NE-9,NW-54,326.49,0.25703
mfa-amec,tuo-clavey,mfa-amec_tuo-clavey,NE-9,E-2,138.93,0.258875
mfa-amec,vandz-dinsmore,mfa-amec_vandz-dinsmore,NE-9,NW-55,285.15,0.244244
mfa-amec,vandz-rootcreek,mfa-amec_vandz-rootcreek,NE-9,NW-56,308.65,0.239181
mfa-amec,vandz-shanty,mfa-amec_vandz-shanty,NE-9,NW-57,272.06,0.270462
mfa-gasc,mfa-todc,mfa-gasc_mfa-todc,NE-10,NE-11,0.99,0.09566
mfa-gasc,mfy-oregck,mfa-gasc_mfy-oregck,NE-10,NE-12,53.87,0.187751
mfa-gasc,mfy-us-oh,mfa-gasc_mfy-us-oh,NE-10,NE-13,49.83,0.187637
mfa-gasc,nfa,mfa-gasc_nfa,NE-10,NE-14,16.11,0.137059
mfa-gasc,nfa-bunc,mfa-gasc_nfa-bunc,NE-10,NE-15,8.13,0.152178
mfa-gasc,nfa-euchds,mfa-gasc_nfa-euchds,NE-10,NE-16,28.38,0.165966
mfa-gasc,nfa-euchus,mfa-gasc_nfa-euchus,NE-10,NE-17,28.87,0.1667
mfa-gasc,nfa-indc,mfa-gasc_nfa-indc,NE-10,NE-18,10.22,0.157207
mfa-gasc,nfa-pond,mfa-gasc_nfa-pond,NE-10,NE-19,3.78,0.132366
mfa-gasc,nfa-robr,mfa-gasc_nfa-robr,NE-10,NE-20,15.33,0.135064
mfa-gasc,nfa-saic,mfa-gasc_nfa-saic,NE-10,NE-21,46.9,0.188424
mfa-gasc,nfa-shic,mfa-gasc_nfa-shic,NE-10,NE-22,9.12,0.135298
mfa-gasc,nfa-slar,mfa-gasc_nfa-slar,NE-10,NE-23,14.68,0.157378
mfa-gasc,nff-poe,mfa-gasc_nff-poe,NE-10,N-Fea-39,97.19,0.252614
mfa-gasc,nfmfa-sc,mfa-gasc_nfmfa-sc,NE-10,NE-24,18.04,0.154941
mfa-gasc,nfy,mfa-gasc_nfy,NE-10,NE-25,60.67,0.191588
mfa-gasc,nfy-slate-cgrav,mfa-gasc_nfy-slate-cgrav,NE-10,NE-26,80.23,0.214181
mfa-gasc,paj-clearck,mfa-gasc_paj-clearck,NE-10,W-61,288.56,0.373942
mfa-gasc,paj-sanbenito,mfa-gasc_paj-sanbenito,NE-10,W-62,292.34,0.364136
mfa-gasc,put-cold,mfa-gasc_put-cold,NE-10,NW-46,113.95,0.338268
mfa-gasc,put-wildhorseck,mfa-gasc_put-wildhorseck,NE-10,NW-47,113.64,0.320163
mfa-gasc,rub-lc-us,mfa-gasc_rub-lc-us,NE-10,NE-27,21.17,0.168807
mfa-gasc,rub-usph,mfa-gasc_rub-usph,NE-10,NE-28,18.49,0.18597
mfa-gasc,russ-mwsprngck,mfa-gasc_russ-mwsprngck,NE-10,NW-48,161.23,0.28054
mfa-gasc,salin-losburros,mfa-gasc_salin-losburros,NE-10,SW-58,345.44,0.387847
mfa-gasc,sancarp-dutrack,mfa-gasc_sancarp-dutrack,NE-10,SW-59,352.64,0.373759
mfa-gasc,sfa-cami,mfa-gasc_sfa-cami,NE-10,E-1,35.19,0.203563
mfa-gasc,sfeel-cedar,mfa-gasc_sfeel-cedar,NE-10,NW-49,249.03,0.27539400000000003
mfa-gasc,sfy-fallck,mfa-gasc_sfy-fallck,NE-10,NE-29,46.35,0.194218
mfa-gasc,sfy-loga,mfa-gasc_sfy-loga,NE-10,NE-30,45.23,0.173655
mfa-gasc,sfy-misc,mfa-gasc_sfy-misc,NE-10,NE-31,44.01,0.173487
mfa-gasc,sfy-rockck,mfa-gasc_sfy-rockck,NE-10,NE-32,40.6,0.198833
mfa-gasc,sfy-shadyck,mfa-gasc_sfy-shadyck,NE-10,NE-33,44.42,0.192996
mfa-gasc,sfy-springck,mfa-gasc_sfy-springck,NE-10,NE-34,40.91,0.199944
mfa-gasc,smith-hurdygurdyck,mfa-gasc_smith-hurdygurdyck,NE-10,NW-50,394.37,0.28263
mfa-gasc,soquel-ebsc,mfa-gasc_soquel-ebsc,NE-10,W-63,227.59,0.352545
mfa-gasc,ssantiam,mfa-gasc_ssantiam,NE-10,NW-51,616.17,0.315802
mfa-gasc,trin-sftrinity,mfa-gasc_trin-sftrinity,NE-10,NW-52,302.04,0.226081
mfa-gasc,trin-sftrinity-sandybar,mfa-gasc_trin-sftrinity-sandybar,NE-10,NW-53,312.05,0.254432
mfa-gasc,trin-tishtang,mfa-gasc_trin-tishtang,NE-10,NW-54,324.56,0.254303
mfa-gasc,tuo-clavey,mfa-gasc_tuo-clavey,NE-10,E-2,141.53,0.287466
mfa-gasc,vandz-dinsmore,mfa-gasc_vandz-dinsmore,NE-10,NW-55,283.7,0.247361
mfa-gasc,vandz-rootcreek,mfa-gasc_vandz-rootcreek,NE-10,NW-56,307.41,0.242469
mfa-gasc,vandz-shanty,mfa-gasc_vandz-shanty,NE-10,NW-57,270.68,0.269902
mfa-todc,mfy-oregck,mfa-todc_mfy-oregck,NE-11,NE-12,54.35,0.205416
mfa-todc,mfy-us-oh,mfa-todc_mfy-us-oh,NE-11,NE-13,50.22,0.200792
mfa-todc,nfa,mfa-todc_nfa,NE-11,NE-14,16.36,0.154224
mfa-todc,nfa-bunc,mfa-todc_nfa-bunc,NE-11,NE-15,8.25,0.168223
mfa-todc,nfa-euchds,mfa-todc_nfa-euchds,NE-11,NE-16,28.16,0.180448
mfa-todc,nfa-euchus,mfa-todc_nfa-euchus,NE-11,NE-17,28.62,0.180766
mfa-todc,nfa-indc,mfa-todc_nfa-indc,NE-11,NE-18,10.36,0.169417
mfa-todc,nfa-pond,mfa-todc_nfa-pond,NE-11,NE-19,4.33,0.146595
mfa-todc,nfa-robr,mfa-todc_nfa-robr,NE-11,NE-20,15.62,0.156655
mfa-todc,nfa-saic,mfa-todc_nfa-saic,NE-11,NE-21,46.32,0.195527
mfa-todc,nfa-shic,mfa-todc_nfa-shic,NE-11,NE-22,9.15,0.151464
mfa-todc,nfa-slar,mfa-todc_nfa-slar,NE-11,NE-23,14.97,0.169757
mfa-todc,nff-poe,mfa-todc_nff-poe,NE-11,N-Fea-39,97.9,0.265096
mfa-todc,nfmfa-sc,mfa-todc_nfmfa-sc,NE-11,NE-24,17.27,0.171322
mfa-todc,nfy,mfa-todc_nfy,NE-11,NE-25,61.04,0.208614
mfa-todc,nfy-slate-cgrav,mfa-todc_nfy-slate-cgrav,NE-11,NE-26,80.54,0.23233
mfa-todc,paj-clearck,mfa-todc_paj-clearck,NE-11,W-61,288.21,0.378181
mfa-todc,paj-sanbenito,mfa-todc_paj-sanbenito,NE-11,W-62,291.96,0.366047
mfa-todc,put-cold,mfa-todc_put-cold,NE-11,NW-46,114.67,0.339607
mfa-todc,put-wildhorseck,mfa-todc_put-wildhorseck,NE-11,NW-47,114.35,0.322572
mfa-todc,rub-lc-us,mfa-todc_rub-lc-us,NE-11,NE-27,20.26,0.173958
mfa-todc,rub-usph,mfa-todc_rub-usph,NE-11,NE-28,17.62,0.19513
mfa-todc,russ-mwsprngck,mfa-todc_russ-mwsprngck,NE-11,NW-48,162.06,0.289627
mfa-todc,salin-losburros,mfa-todc_salin-losburros,NE-11,SW-58,345.24,0.387166
mfa-todc,sancarp-dutrack,mfa-todc_sancarp-dutrack,NE-11,SW-59,352.44,0.37668
mfa-todc,sfa-cami,mfa-todc_sfa-cami,NE-11,E-1,34.22,0.212
mfa-todc,sfeel-cedar,mfa-todc_sfeel-cedar,NE-11,NW-49,250.02,0.281898
mfa-todc,sfy-fallck,mfa-todc_sfy-fallck,NE-11,NE-29,46.29,0.210223
mfa-todc,sfy-loga,mfa-todc_sfy-loga,NE-11,NE-30,45.39,0.187109
mfa-todc,sfy-misc,mfa-todc_sfy-misc,NE-11,NE-31,44.22,0.187787
mfa-todc,sfy-rockck,mfa-todc_sfy-rockck,NE-11,NE-32,41.01,0.207027
mfa-todc,sfy-shadyck,mfa-todc_sfy-shadyck,NE-11,NE-33,44.95,0.211339
mfa-todc,sfy-springck,mfa-todc_sfy-springck,NE-11,NE-34,41.32,0.214374
mfa-todc,smith-hurdygurdyck,mfa-todc_smith-hurdygurdyck,NE-11,NW-50,395.19,0.292923
mfa-todc,soquel-ebsc,mfa-todc_soquel-ebsc,NE-11,W-63,227.69,0.357168
mfa-todc,ssantiam,mfa-todc_ssantiam,NE-11,NW-51,616.66,0.319844
mfa-todc,trin-sftrinity,mfa-todc_trin-sftrinity,NE-11,NW-52,302.94,0.235733
mfa-todc,trin-sftrinity-sandybar,mfa-todc_trin-sftrinity-sandybar,NE-11,NW-53,312.94,0.261632
mfa-todc,trin-tishtang,mfa-todc_trin-tishtang,NE-11,NW-54,325.44,0.264976
mfa-todc,tuo-clavey,mfa-todc_tuo-clavey,NE-11,E-2,140.79,0.289311
mfa-todc,vandz-dinsmore,mfa-todc_vandz-dinsmore,NE-11,NW-55,284.63,0.257316
mfa-todc,vandz-rootcreek,mfa-todc_vandz-rootcreek,NE-11,NW-56,308.36,0.252771
mfa-todc,vandz-shanty,mfa-todc_vandz-shanty,NE-11,NW-57,271.62,0.278704
mfy-oregck,mfy-us-oh,mfy-oregck_mfy-us-oh,NE-12,NE-13,6.61,0.074561
mfy-oregck,nfa,mfy-oregck_nfa,NE-12,NE-14,38.67,0.122707
mfy-oregck,nfa-bunc,mfy-oregck_nfa-bunc,NE-12,NE-15,46.65,0.145802
mfy-oregck,nfa-euchds,mfy-oregck_nfa-euchds,NE-12,NE-16,38.25,0.151525
mfy-oregck,nfa-euchus,mfy-oregck_nfa-euchus,NE-12,NE-17,38.96,0.153121
mfy-oregck,nfa-indc,mfy-oregck_nfa-indc,NE-12,NE-18,44.66,0.140057
mfy-oregck,nfa-pond,mfy-oregck_nfa-pond,NE-12,NE-19,50.09,0.118621
mfy-oregck,nfa-robr,mfy-oregck_nfa-robr,NE-12,NE-20,39.12,0.121942
mfy-oregck,nfa-saic,mfy-oregck_nfa-saic,NE-12,NE-21,54.48,0.180508
mfy-oregck,nfa-shic,mfy-oregck_nfa-shic,NE-12,NE-22,46.19,0.11937
mfy-oregck,nfa-slar,mfy-oregck_nfa-slar,NE-12,NE-23,39.77,0.136805
mfy-oregck,nff-poe,mfy-oregck_nff-poe,NE-12,N-Fea-39,48.2,0.228915
mfy-oregck,nfmfa-sc,mfy-oregck_nfmfa-sc,NE-12,NE-24,54.18,0.174728
mfy-oregck,nfy,mfy-oregck_nfy,NE-12,NE-25,10.39,0.10716
mfy-oregck,nfy-slate-cgrav,mfy-oregck_nfy-slate-cgrav,NE-12,NE-26,29.28,0.161382
mfy-oregck,paj-clearck,mfy-oregck_paj-clearck,NE-12,W-61,341.98,0.350878
mfy-oregck,paj-sanbenito,mfy-oregck_paj-sanbenito,NE-12,W-62,345.89,0.342112
mfy-oregck,put-cold,mfy-oregck_put-cold,NE-12,NW-46,138.26,0.308769
mfy-oregck,put-wildhorseck,mfy-oregck_put-wildhorseck,NE-12,NW-47,138.61,0.290643
mfy-oregck,rub-lc-us,mfy-oregck_rub-lc-us,NE-12,NE-27,59.47,0.169621
mfy-oregck,rub-usph,mfy-oregck_rub-usph,NE-12,NE-28,56.99,0.19289799999999999
mfy-oregck,russ-mwsprngck,mfy-oregck_russ-mwsprngck,NE-12,NW-48,174.11,0.254792
mfy-oregck,salin-losburros,mfy-oregck_salin-losburros,NE-12,SW-58,397.3,0.361503
mfy-oregck,sancarp-dutrack,mfy-oregck_sancarp-dutrack,NE-12,SW-59,404.5,0.351044
mfy-oregck,sfa-cami,mfy-oregck_sfa-cami,NE-12,E-1,81.31,0.261146
mfy-oregck,sfeel-cedar,mfy-oregck_sfeel-cedar,NE-12,NW-49,224.25,0.246261
mfy-oregck,sfy-fallck,mfy-oregck_sfy-fallck,NE-12,NE-29,29.23,0.114047
mfy-oregck,sfy-loga,mfy-oregck_sfy-loga,NE-12,NE-30,19.41,0.10074
mfy-oregck,sfy-misc,mfy-oregck_sfy-misc,NE-12,NE-31,17.63,0.101988
mfy-oregck,sfy-rockck,mfy-oregck_sfy-rockck,NE-12,NE-32,13.87,0.115873
mfy-oregck,sfy-shadyck,mfy-oregck_sfy-shadyck,NE-12,NE-33,9.72,0.116058
mfy-oregck,sfy-springck,mfy-oregck_sfy-springck,NE-12,NE-34,13.52,0.125513
mfy-oregck,smith-hurdygurdyck,mfy-oregck_smith-hurdygurdyck,NE-12,NW-50,347.4,0.256705
mfy-oregck,soquel-ebsc,mfy-oregck_soquel-ebsc,NE-12,W-63,273.73,0.332357
mfy-oregck,ssantiam,mfy-oregck_ssantiam,NE-12,NW-51,562.31,0.276386
mfy-oregck,trin-sftrinity,mfy-oregck_trin-sftrinity,NE-12,NW-52,260.18,0.19749
mfy-oregck,trin-sftrinity-sandybar,mfy-oregck_trin-sftrinity-sandybar,NE-12,NW-53,269.55,0.220745
mfy-oregck,trin-tishtang,mfy-oregck_trin-tishtang,NE-12,NW-54,280.88,0.228404
mfy-oregck,tuo-clavey,mfy-oregck_tuo-clavey,NE-12,E-2,193.23,0.301147
mfy-oregck,vandz-dinsmore,mfy-oregck_vandz-dinsmore,NE-12,NW-55,245.67,0.219125
mfy-oregck,vandz-rootcreek,mfy-oregck_vandz-rootcreek,NE-12,NW-56,271.65,0.210305
mfy-oregck,vandz-shanty,mfy-oregck_vandz-shanty,NE-12,NW-57,233.68,0.243697
mfy-us-oh,nfa,mfy-us-oh_nfa,NE-13,NE-14,34.11,0.124314
mfy-us-oh,nfa-bunc,mfy-us-oh_nfa-bunc,NE-13,NE-15,42.25,0.135311
mfy-us-oh,nfa-euchds,mfy-us-oh_nfa-euchds,NE-13,NE-16,32.08,0.145118
mfy-us-oh,nfa-euchus,mfy-us-oh_nfa-euchus,NE-13,NE-17,32.75,0.151199
mfy-us-oh,nfa-indc,mfy-us-oh_nfa-indc,NE-13,NE-18,40.19,0.12701
mfy-us-oh,nfa-pond,mfy-us-oh_nfa-pond,NE-13,NE-19,46.06,0.119089
mfy-us-oh,nfa-robr,mfy-us-oh_nfa-robr,NE-13,NE-20,34.69,0.119767
mfy-us-oh,nfa-saic,mfy-us-oh_nfa-saic,NE-13,NE-21,47.87,0.165182
mfy-us-oh,nfa-shic,mfy-us-oh_nfa-shic,NE-13,NE-22,41.67,0.110877
mfy-us-oh,nfa-slar,mfy-us-oh_nfa-slar,NE-13,NE-23,35.35,0.127428
mfy-us-oh,nff-poe,mfy-us-oh_nff-poe,NE-13,N-Fea-39,54.64,0.223005
mfy-us-oh,nfmfa-sc,mfy-us-oh_nfmfa-sc,NE-13,NE-24,48.58,0.173655
mfy-us-oh,nfy,mfy-us-oh_nfy,NE-13,NE-25,11.03,0.108995
mfy-us-oh,nfy-slate-cgrav,mfy-us-oh_nfy-slate-cgrav,NE-13,NE-26,30.97,0.155079
mfy-us-oh,paj-clearck,mfy-us-oh_paj-clearck,NE-13,W-61,338.35,0.355374
mfy-us-oh,paj-sanbenito,mfy-us-oh_paj-sanbenito,NE-13,W-62,342.16,0.342952
mfy-us-oh,put-cold,mfy-us-oh_put-cold,NE-13,NW-46,139.8,0.304515
mfy-us-oh,put-wildhorseck,mfy-us-oh_put-wildhorseck,NE-13,NW-47,140.07,0.288195
mfy-us-oh,rub-lc-us,mfy-us-oh_rub-lc-us,NE-13,NE-27,53.77,0.173855
mfy-us-oh,rub-usph,mfy-us-oh_rub-usph,NE-13,NE-28,51.4,0.186151
mfy-us-oh,russ-mwsprngck,mfy-us-oh_russ-mwsprngck,NE-13,NW-48,177.2,0.262911
mfy-us-oh,salin-losburros,mfy-us-oh_salin-losburros,NE-13,SW-58,394.46,0.366147
mfy-us-oh,sancarp-dutrack,mfy-us-oh_sancarp-dutrack,NE-13,SW-59,401.66,0.35726
mfy-us-oh,sfa-cami,mfy-us-oh_sfa-cami,NE-13,E-1,75.68,0.261806
mfy-us-oh,sfeel-cedar,mfy-us-oh_sfeel-cedar,NE-13,NW-49,230.51,0.250738
mfy-us-oh,sfy-fallck,mfy-us-oh_sfy-fallck,NE-13,NE-29,22.75,0.118719
mfy-us-oh,sfy-loga,mfy-us-oh_sfy-loga,NE-13,NE-30,12.83,0.09895
mfy-us-oh,sfy-misc,mfy-us-oh_sfy-misc,NE-13,NE-31,11.03,0.099454
mfy-us-oh,sfy-rockck,mfy-us-oh_sfy-rockck,NE-13,NE-32,9.25,0.097804
mfy-us-oh,sfy-shadyck,mfy-us-oh_sfy-shadyck,NE-13,NE-33,8.8,0.109351
mfy-us-oh,sfy-springck,mfy-us-oh_sfy-springck,NE-13,NE-34,8.96,0.109432
