PlateID,well,LabID,SampleType,Collector,YYYY,easting,northing,zone,Priority,Project,Elevation_m,conc_ng_ul
WSU-3,D1,RB3,Tail-Clip,FS,2015,676738,4395285,10N,1,hybrid,1327.396973,5.28
WSU-3,E1,GA11,Toe-Clip,Greta,,663772,4425356,10N,1,hybrid/geneflow,1212.153076,5
WSU-3,F1,GA12,Toe-Clip,Greta,,663639,4425536,10N,1,hybrid/geneflow,1222.249268,8
WSU-3,G1,GA5,Toe-Clip,Greta,,663497,4425846,10N,1,hybrid/geneflow,1249.498413,3.248
WSU-3,H1,GA7,Toe-Clip,Greta,,663602,4426021,10N,1,hybrid/geneflow,1288.348633,4.272
WSU-3,A2,GA9,Toe-Clip,Greta,,663558,4425968,10N,1,hybrid/geneflow,1276.961182,8
WSU-3,B2,GB1,Toe-Clip,Greta,,663604,4426008,10N,1,hybrid/geneflow,1283.086914,6.824
WSU-3,C2,GB10,Toe-Clip,Greta,,658724,4422861,10N,1,geneflow,1901.188965,5
WSU-3,D2,GB11,Toe-Clip,Greta,,658724,4422861,10N,1,geneflow,1901.188965,8
WSU-3,E2,GB12,Toe-Clip,Greta,,658724,4422861,10N,1,geneflow,1901.188965,8
WSU-3,F2,GB3,Toe-Clip,Greta,,663219,4426856,10N,1,hybrid/geneflow,1383.201294,8
WSU-3,G2,GB4,Toe-Clip,Greta,,663215,4426873,10N,1,hybrid/geneflow,1381.338135,5
WSU-3,H2,GB5,Toe-Clip,Greta,,663186,4426911,10N,1,hybrid/geneflow,1383.085938,6.548
WSU-3,A3,GB8,Toe-Clip,Greta,,676643,4395623,10N,1,hybrid,1336.636841,5.872
WSU-3,B3,GC1,Toe-Clip,Greta,,658724,4422861,10N,1,geneflow,1901.188965,8
WSU-3,C3,GC10,Toe-Clip,Greta,,663786,4425129,10N,1,hybrid/geneflow,1197.140869,8
WSU-3,D3,GC12,Toe-Clip,Greta,,663791,4425270,10N,1,hybrid/geneflow,1205.024902,8
